0,1,2
0,2,1
1,3,2
1,2,2
2,4,3
2,5,1
2,6,4
3,7,3
3,8,3
7,9,2
7,10,2
8,9,1
8,11,1
8,12,1
8,10,2
8,13,5
8,14,1
8,15,3
8,16,1
8,4,2
9,11,2
9,12,1
9,10,2
9,17,6
10,12,3
10,14,1
11,12,3
11,16,3
11,18,1
11,17,1
12,13,1
12,19,4
12,20,3
12,17,4
17,21,2
17,22,8
17,23,1
17,24,1
17,25,2
17,26,2
16,27,1
16,28,7
16,29,3
16,30,1
16,4,2
16,31,1
16,5,4
18,32,3
18,33,2
18,34,4
18,22,11
18,24,2
18,25,3
13,35,3
13,15,1
13,36,3
13,37,1
13,38,1
13,39,2
13,40,2
19,38,4
19,41,3
19,42,1
19,20,1
19,43,1
19,44,1
19,45,2
19,22,1
20,21,2
20,46,6
14,35,2
14,15,3
14,47,1
15,47,1
15,36,3
15,4,5
15,39,4
4,29,2
4,48,1
4,30,2
4,49,2
4,39,1
35,47,1
36,47,4
36,37,3
36,39,2
36,50,1
36,51,6
36,52,2
37,38,6
37,52,3
38,43,1
38,44,6
38,52,3
38,53,3
38,40,2
39,54,1
39,30,3
39,55,4
39,56,2
39,51,1
40,41,1
40,54,2
40,57,1
40,30,1
40,53,3
40,58,3
50,59,2
50,60,3
50,61,1
50,56,2
50,62,3
50,51,2
51,54,2
51,63,2
51,52,3
52,64,6
52,65,1
52,53,1
43,46,1
43,44,2
43,66,1
44,67,5
44,68,1
44,69,7
44,58,1
53,54,1
41,42,3
41,58,2
41,45,2
42,70,3
42,71,2
42,45,1
42,22,1
42,72,2
45,73,1
45,58,4
45,74,2
45,32,3
22,21,2
22,32,1
22,75,2
22,76,1
22,77,2
22,72,13
22,24,3
58,54,1
58,73,2
58,57,1
70,71,3
70,78,1
71,79,2
71,80,4
71,67,1
71,81,2
71,82,2
72,21,2
72,46,4
72,77,1
72,83,2
72,84,3
78,79,1
78,85,1
78,86,4
78,87,3
78,88,1
78,89,3
78,80,7
78,90,3
78,91,1
78,92,2
79,85,3
79,86,3
79,87,1
79,93,1
79,90,6
79,94,1
79,95,5
80,87,2
80,88,2
80,89,4
80,96,2
67,46,1
67,81,2
67,82,2
67,97,1
67,98,2
67,66,2
67,68,2
67,69,1
81,93,6
81,69,2
82,87,9
82,96,1
82,46,2
82,99,2
82,100,2
82,101,2
82,97,2
82,102,2
82,103,6
85,86,2
85,87,2
85,104,1
85,95,4
85,105,1
85,106,3
85,99,4
85,100,2
86,90,2
87,104,3
87,88,1
87,99,2
87,100,1
93,90,2
93,107,4
93,100,1
93,69,1
90,94,3
94,95,2
94,107,2
94,108,5
95,107,3
95,106,3
104,109,4
105,110,1
105,106,2
105,111,2
106,107,4
106,111,3
106,99,1
106,100,1
106,112,1
106,113,3
99,111,2
99,100,2
99,101,3
99,102,1
100,112,4
100,97,1
88,109,1
88,89,4
89,109,5
89,91,1
89,114,1
89,83,1
91,75,2
91,76,5
91,92,3
91,115,2
92,116,1
92,75,1
92,117,2
92,115,1
92,118,3
92,119,1
114,76,1
114,77,1
114,83,4
83,120,1
83,77,3
83,84,4
96,121,2
96,120,1
121,120,3
121,103,1
120,122,4
120,123,4
103,97,1
103,102,5
103,124,1
103,98,4
122,123,3
122,46,2
123,21,2
123,84,2
123,23,3
46,98,11
84,77,5
84,23,5
23,24,3
98,97,2
98,124,4
98,66,3
66,68,3
68,112,2
68,97,2
68,69,3
68,125,3
68,126,1
68,127,1
69,128,2
69,125,1
69,129,4
69,130,2
69,73,2
97,112,1
97,131,3
97,124,1
107,108,3
107,113,3
107,132,1
108,133,2
108,134,2
108,135,1
113,111,1
113,112,3
113,135,1
113,136,1
113,137,13
113,138,3
113,139,1
113,125,2
132,128,3
132,140,1
132,141,6
132,135,1
132,136,4
132,125,4
132,127,3
132,129,3
132,142,1
132,143,1
132,144,1
132,145,2
133,146,2
133,147,1
133,134,1
133,141,1
133,148,6
133,149,8
133,150,2
133,151,2
133,135,1
133,152,3
134,140,4
134,141,4
134,153,2
134,154,2
135,141,1
135,151,1
135,155,1
135,156,3
135,136,3
135,137,2
146,157,2
146,158,2
146,147,4
146,159,2
146,160,1
146,161,4
147,157,6
147,162,2
147,163,1
147,164,2
147,165,1
147,166,1
147,167,3
147,149,5
147,150,1
141,148,3
141,136,2
141,129,1
141,142,2
141,154,1
148,153,2
148,168,3
148,151,1
148,154,1
148,169,1
148,170,1
149,160,9
149,161,3
149,171,2
149,172,6
149,150,15
149,152,3
150,172,3
150,173,1
150,174,6
150,151,4
151,173,1
151,175,1
151,174,2
151,155,3
151,136,2
151,176,3
151,177,1
152,160,1
152,178,1
152,173,13
152,179,7
152,180,7
152,181,3
152,182,1
152,183,2
152,184,1
152,169,4
157,158,2
157,162,1
157,167,2
158,162,2
158,161,1
159,153,13
159,168,1
159,185,2
159,186,3
160,186,5
160,161,2
160,171,3
161,162,1
161,163,1
161,171,1
161,187,1
162,163,7
162,164,3
162,167,4
167,166,5
167,188,2
167,110,2
163,164,2
164,165,1
164,166,1
165,166,3
165,156,1
166,189,3
166,188,2
156,174,5
156,155,3
189,188,4
189,137,2
137,111,4
137,136,1
137,190,2
111,112,1
112,101,2
112,131,3
112,125,1
101,131,2
101,102,4
102,131,3
102,124,1
131,124,1
131,139,5
125,139,5
125,126,2
125,127,1
125,191,1
125,143,1
139,192,3
126,127,3
126,143,1
126,144,3
126,64,2
127,128,1
127,145,1
128,140,2
128,129,1
129,140,1
129,142,3
129,154,4
129,193,4
130,193,2
130,194,2
130,195,1
130,196,3
130,197,1
130,54,3
130,73,5
73,195,2
73,196,1
