0,1,2
0,2,1
0,3,1
1,4,2
1,5,1
1,3,3
1,6,1
1,7,2
2,8,1
2,9,1
2,10,1
2,11,2
2,3,4
2,12,1
3,13,1
3,14,1
3,10,1
3,12,4
4,5,9
5,8,2
5,15,1
5,7,1
5,16,5
6,10,8
6,17,2
6,18,2
6,19,7
6,20,2
6,21,3
6,22,4
6,23,2
6,7,5
7,13,5
7,19,3
7,23,1
7,24,2
7,25,5
7,26,2
7,16,3
8,13,3
8,14,1
8,27,5
8,15,2
15,13,2
15,27,3
15,28,2
15,29,1
15,30,2
15,31,3
16,13,1
16,25,2
16,26,3
16,32,2
16,31,1
13,14,2
13,28,3
13,33,4
13,26,1
13,31,1
14,27,3
14,28,1
14,34,1
14,33,1
14,12,2
27,34,1
27,29,1
28,34,3
28,30,1
28,35,3
28,36,1
28,37,1
28,33,1
28,31,1
33,37,2
33,38,1
33,12,12
33,39,1
33,40,1
33,41,2
26,42,1
26,43,1
26,44,1
26,19,1
26,24,1
26,45,2
26,46,1
26,31,4
31,30,1
31,44,1
31,46,3
34,29,2
34,47,1
12,38,2
12,48,6
12,49,3
12,39,1
12,50,3
12,51,2
12,19,1
29,30,4
29,47,1
30,47,1
30,52,3
35,47,3
35,36,3
35,53,5
35,54,1
35,55,1
35,56,1
36,37,7
36,57,1
36,58,2
37,40,6
37,57,3
37,59,3
37,60,1
37,58,3
37,61,3
37,41,2
52,44,1
52,62,2
52,53,2
52,63,3
52,46,1
53,64,1
53,44,1
53,65,2
53,54,1
53,56,3
53,41,3
54,66,6
54,67,2
54,68,1
54,65,1
54,63,3
54,55,2
54,56,2
55,69,2
55,56,1
56,66,3
56,70,1
56,69,2
56,58,3
57,39,1
57,40,4
57,71,1
57,50,3
57,72,3
57,59,2
58,73,4
58,70,2
58,74,1
58,69,2
58,61,1
40,48,2
40,39,2
40,71,6
40,75,2
40,72,1
40,76,6
40,77,1
59,72,1
59,78,1
59,79,2
59,80,3
59,81,2
59,73,2
60,80,2
60,82,1
60,83,2
60,84,1
60,85,2
60,81,3
60,86,4
60,87,3
60,88,2
60,73,3
60,74,2
61,89,1
61,41,3
41,38,1
41,89,2
41,90,1
41,44,1
41,77,3
38,48,3
38,77,1
38,51,1
39,50,2
48,91,3
48,49,2
48,75,1
48,77,1
48,51,2
48,92,1
48,93,1
77,89,3
77,94,1
77,90,1
77,51,3
51,91,1
51,42,2
51,95,2
51,92,1
91,96,3
91,75,1
91,97,1
91,95,5
91,92,1
49,96,2
49,98,1
49,99,3
49,100,1
49,10,3
49,11,2
49,71,1
49,101,1
49,93,2
75,96,1
75,71,3
75,102,7
75,103,1
75,76,3
75,104,3
92,95,1
92,93,3
92,105,1
93,99,3
93,10,2
93,17,2
93,105,1
96,106,4
96,98,1
96,71,2
96,97,2
96,103,1
97,106,4
97,102,3
97,107,7
97,108,2
97,95,4
95,104,1
95,109,5
95,90,1
95,105,2
106,110,2
106,111,2
106,112,1
106,98,3
106,102,2
106,107,1
106,113,5
98,110,1
98,112,3
98,114,3
98,115,1
98,100,1
98,103,1
98,101,2
71,103,3
71,101,1
71,116,1
71,76,1
103,102,3
103,117,1
103,118,2
103,119,3
103,101,1
103,116,1
110,111,4
110,114,2
110,118,2
111,112,8
111,115,2
112,115,2
112,99,4
112,120,6
102,121,5
107,113,2
107,108,1
107,122,2
113,121,3
113,123,1
113,117,1
114,115,2
114,118,1
118,124,2
118,117,1
118,125,2
118,126,1
118,101,1
115,127,1
115,99,1
99,127,1
99,128,2
99,100,2
99,10,1
99,129,3
120,17,1
120,130,3
120,131,2
120,105,1
100,9,2
100,11,2
100,101,3
101,126,2
101,116,3
101,132,1
101,133,10
101,50,1
127,128,3
127,129,1
128,9,2
128,10,2
128,129,7
129,20,2
129,134,4
129,21,4
9,10,3
9,11,2
11,133,1
11,50,1
133,116,1
133,132,5
133,135,1
50,116,1
50,135,4
19,42,7
19,105,3
19,23,2
19,24,2
72,119,2
72,116,2
72,76,3
72,79,6
72,80,1
76,136,2
76,104,2
76,79,1
76,83,3
76,94,2
116,119,2
116,137,2
104,108,3
104,136,2
104,138,4
104,82,2
104,83,5
104,139,1
104,140,1
104,109,1
121,108,3
121,141,1
121,142,1
121,119,1
121,143,1
121,82,1
108,144,2
108,123,1
108,141,1
108,138,3
108,122,1
122,144,1
122,145,4
122,146,5
122,147,3
122,148,2
122,149,1
123,144,1
123,145,2
123,141,2
123,150,1
117,124,1
117,142,2
141,151,4
141,150,1
141,152,1
141,153,3
142,154,2
142,125,3
142,119,1
142,143,3
119,125,2
119,126,3
119,137,2
119,143,5
119,78,1
143,154,1
143,125,2
143,153,1
143,155,1
143,156,15
143,157,3
143,78,5
143,79,5
82,136,6
82,138,1
82,158,7
82,153,1
82,155,8
82,79,1
82,80,4
82,83,3
82,159,2
82,81,1
82,86,1
144,145,2
144,151,4
144,148,1
144,149,9
144,160,1
144,161,3
144,162,1
144,163,13
144,164,1
138,158,3
138,165,1
138,146,1
138,83,2
138,139,4
145,150,2
151,150,4
151,166,3
151,167,1
151,168,9
151,160,3
148,169,2
148,147,1
148,149,4
148,170,2
148,171,1
148,164,2
149,172,2
149,160,1
149,161,2
149,170,1
160,150,2
160,166,2
160,173,10
160,172,2
160,161,10
160,174,2
160,175,2
160,162,2
161,170,3
161,174,1
161,175,1
161,176,1
161,162,1
161,164,2
162,175,1
162,177,1
162,176,2
162,178,3
162,179,2
162,180,1
162,163,1
163,168,3
163,158,5
163,179,1
163,180,2
163,181,3
163,153,2
164,165,2
164,176,5
164,179,3
164,182,2
164,171,3
164,183,2
164,184,1
164,185,2
164,186,1
164,187,9
150,166,3
152,168,2
152,154,5
152,124,2
153,168,3
153,154,2
153,181,1
153,188,4
153,155,2
153,156,2
166,173,2
166,189,1
167,173,1
167,189,4
167,168,2
168,189,4
168,154,7
168,180,2
168,188,10
173,189,1
154,124,2
154,125,3
154,188,1
154,156,12
180,178,2
180,190,2
180,181,1
180,188,5
188,191,2
124,125,1
125,126,2
125,156,4
156,192,2
126,132,7
137,132,3
137,135,1
137,78,5
78,157,1
78,193,3
78,79,3
78,194,1
79,80,1
79,194,1
80,136,1
80,159,1
136,83,1
83,158,1
83,84,3
83,140,4
94,140,6
94,195,1
94,196,1
94,74,2
94,89,3
94,109,4
